Service plans included,Service plans included (friendly names)
TEAMS_ADVCOMMS (604ec28a-ae18-4bc6-91b0-11da94504ba9),Microsoft 365 Advanced Communications (604ec28a-ae18-4bc6-91b0-11da94504ba9)
"CDSAICAPACITY (a7c70a41-5e02-4271-93e6-d9b4184d83f5)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","AI Builder capacity add-on (a7c70a41-5e02-4271-93e6-d9b4184d83f5)
Exchange Foundation (113feb6c-3fe4-4440-bddc-54d774bf0318)"
"SPZA (0bfc98ed-1dbc-4a97-b246-701754e48b17)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","APP CONNECT (0bfc98ed-1dbc-4a97-b246-701754e48b17)
EXCHANGE FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)"
MCOMEETADV (3e26ee1f-8a5f-4d52-aee2-b81ce45c8f40),Microsoft 365 Audio Conferencing (3e26ee1f-8a5f-4d52-aee2-b81ce45c8f40)
AAD_BASIC (c4da7f8a-5ee2-4c99-a7e1-87d2df57f6fe),MICROSOFT AZURE ACTIVE DIRECTORY BASIC (c4da7f8a-5ee2-4c99-a7e1-87d2df57f6fe)
"AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0)","AZURE ACTIVE DIRECTORY PREMIUM P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
CLOUD APP SECURITY DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
EXCHANGE FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION (8a256a2b-b617-496d-b51b-e76466e88db0)"
"AAD_PREMIUM (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
AAD_PREMIUM_P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998)
ADALLOM_S_DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
MFA_PREMIUM (8a256a2b-b617-496d-b51b-e76466e88db0)","AZURE ACTIVE DIRECTORY PREMIUM P1 (41781fb2-bc02-4b7c-bd55-b576c07bb09d)
AZURE ACTIVE DIRECTORY PREMIUM P2 (eec0eb4f-6444-4f95-aba0-50c24d67f998)
CLOUD APP SECURITY DISCOVERY (932ad362-64a8-4783-9106-97849a1a30b9)
EXCHANGE FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)
MICROSOFT AZURE MULTI-FACTOR AUTHENTICATION (8a256a2b-b617-496d-b51b-e76466e88db0)"
"RMS_S_ENTERPRISE (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)
RMS_S_PREMIUM (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)","AZURE INFORMATION PROTECTION PREMIUM P1 (6c57d4b6-3b23-47a5-9bc9-69f17b4947b3)
MICROSOFT AZURE ACTIVE DIRECTORY RIGHTS (bea4c11e-220a-4e6d-8eb8-8ea15d019f90)"
"DYN365BC_MS_INVOICING (39b5c996-467e-4e60-bd62-46066f572726)
MICROSOFTBOOKINGS (199a5c09-e0ca-4e37-8f7c-b05d533e1ea2)","Microsoft Invoicing (39b5c996-467e-4e60-bd62-46066f572726)
Microsoft Bookings (199a5c09-e0ca-4e37-8f7c-b05d533e1ea2)"
